	shannon_entropy
NHE001	7.064148198019351
NHE002	6.891962510123196
NHE003	6.751029367578685
NHE004	6.474440514021888
NHE005	6.7547346681692275
NHE006	6.645712232164744
NHE007	6.212126498322841
NHE008	6.079676431905665
NHE010	6.791558923958337
NHE011	5.956961186787438
NHE012	6.413676327701167
NHE013	6.989493262334142
NHE014	6.67405870974166
NHE015	6.911581807182077
NHE016	6.438151142567198
NHE017	6.820804656265589
NHE018	6.837772994510233
NHE019	5.944216784790463
NHE020	6.991801422287519
NHE021	6.2347581486611885
NHE022	6.024788706500509
NHE023	6.40232160717925
NHE024	6.025976807841525
NHE025	6.4143972114454915
NHE026	6.42571524420324
NHE027	6.2699242604163254
NHE028	6.34956841990401
NHE029	6.367764002837806
NHE030	6.456679222713299
NHE031	6.191298527302071
NHE032	6.2304608960590135
NHE033	6.342389910969629
NHE034	6.1373411696406945
NHE035	6.3965984774849165
NHE036	6.313111672579615
NHE037	6.2835424679049785
NHE038	6.367712221287586
NHE039	6.3466202053397645
NHE040	6.3740562950168025
NHE041	6.303397293999627
NHE042	6.421742575031984
NHE043	6.335695668954487
NHE044	6.20126600523992
NHE045	6.138197332114325
NHE046	6.315680267465404
NHE047	6.226909016843848
NHE048	6.222458582370906
NHE049	6.402508704873378
NHE050	6.291385412341697
NHE051	6.288233841963563
NHE052	6.408132887090415
NHE053	6.393566548004162
NHE054	6.472592958042711
NHE055	6.3035360329793475
NHE056	6.383176811938622
NHE057	6.7681991756868065
NHE058	5.361235823970441
NHE059	5.590126435885337
NHE060	6.35834102268937
NHE061	6.608113919519136
NHE062	6.372578294879598
NHE063	6.507319425469265
NHE065	6.352821933683902
NHE066	6.813779227213237
NHE067	6.297943850847214
NHE068	6.782697289420977
NHE069	6.664516813912509
NHE070	6.906848440806853
NHE071	6.535750759767873
NHE072	6.304514173382
NHE073	6.95257198639999
NHE074	6.517296190809238
NHE075	6.654082457404502
NHE076	6.414785779387174
NHE077	6.4692259686876215
NHE078	6.471440789859256
NHE079	6.517576058996441
NHE080	6.60446400582782
NHE082	6.410280790313504
NHE083	6.308788942173461
NHE084	6.470286671401751
NHE085	6.426275832355954
NHE086	6.53728906256466
NHE087	6.486959270494035
NHE088	6.469683179427827
NHE089	6.433657396829772
NHE090	6.6020644745526385
NHE091	6.653135304081473
NHE092	6.522110686228664
NHE093	6.620224232312776
NHE094	6.21910482820938
NHE095	6.777741848275307
NHE096	5.615066656408435
NHE097	6.550275975951819
