	observed_features
NHE001	285
NHE002	271
NHE003	258
NHE004	215
NHE005	239
NHE006	229
NHE007	233
NHE008	206
NHE010	295
NHE011	212
NHE012	299
NHE013	263
NHE014	235
NHE015	277
NHE016	247
NHE017	282
NHE018	280
NHE019	184
NHE020	277
NHE021	217
NHE022	209
NHE023	239
NHE024	205
NHE025	202
NHE026	206
NHE027	194
NHE028	205
NHE029	198
NHE030	219
NHE031	179
NHE032	178
NHE033	196
NHE034	185
NHE035	197
NHE036	186
NHE037	198
NHE038	209
NHE039	209
NHE040	212
NHE041	223
NHE042	212
NHE043	191
NHE044	219
NHE045	201
NHE046	190
NHE047	191
NHE048	175
NHE049	207
NHE050	215
NHE051	198
NHE052	207
NHE053	214
NHE054	240
NHE055	195
NHE056	207
NHE057	230
NHE058	188
NHE059	170
NHE060	212
NHE061	217
NHE062	207
NHE063	201
NHE065	235
NHE066	228
NHE067	209
NHE068	227
NHE069	211
NHE070	241
NHE071	223
NHE072	204
NHE073	259
NHE074	241
NHE075	219
NHE076	251
NHE077	220
NHE078	210
NHE079	199
NHE080	224
NHE082	198
NHE083	203
NHE084	219
NHE085	222
NHE086	182
NHE087	238
NHE088	235
NHE089	222
NHE090	220
NHE091	223
NHE092	219
NHE093	225
NHE094	199
NHE095	212
NHE096	146
NHE097	180
NHE098	187
NHE099	208
NHE100	196
NHE101	234
NHE102	220
NHE103	251
NHE104	171
NHE105	233
NHE106	224
NHE107	186
NHE108	199
NHE109	229
NHE110	226
NHE111	261
NHE112	207
NHE113	238
NHE114	242
NHE115	250
NHE116	215
NHE117	198
NHE118	215
NHE119	206
NHE120	242
NHE121	196
NHE122	254
NHE123	212
NHE124	133
NHE125	204
NHE126	208
NHE127	245
NHE128	184
NHE129	229
NHE130	201
NHE131	217
NHE132	254
NHE133	251
NHE134	243
NHE135	214
NHE136	256
NHE137	256
NHE138	236
NHE139	186
NHE140	197
NHE141	173
NHE142	227
NHE143	169
NHE144	150
NHE145	251
NHE146	175
NHE147	182
NHE148	289
NHE149	184
NHE150	186
NHE151A	176
NHE151B	195
NHE152	175
NHE153	177
NHE154	207
NHE155	250
NHE156	322
NHE157	270
NHE158	259
NHE159	311
NHE160	245
NHE161	256
NHE162	249
NHE163	237
NHE164	247
NHE165	197
NHE166	264
NHE167	238
NHE168	234
NHE169	280
NHE170	285
NHE171	280
NHE172	264
NHE173	312
NHE174	247
NHE175	238
NHE176	253
NHE177	215
NHE178	262
NHE179	263
NHE180	250
NHE181	281
NHE182	236
NHE183	272
NHE184	237
NHE185	273
NHE188	240
NHE189	191
NHE191	226
NHE192	213
NHE193	208
NHE195	225
NHE196	212
NHE197	215
NHE198	209
NHE200	208
NHE201	198
NHE204	203
NHE205	248
NHE207	236
NHE208	206
NHE209	228
NHE210	229
NHE211	227
NHE212	226
NHE215	273
NHE216	234
NHE220	176
NHE222	228
NHE225	231
NHE227	291
NHE228	234
NHE229	221
NHE230	274
NHE233	214
NHE234	255
NHE235	267
NHE238	240
NHE240	190
NHE241	234
NHE242	222
NHE245	289
NHE247	272
NHE248	257
NHE253	283
NHE256	233
NHE257	227
NHE258	248
NHE259	173
NHE260	222
NHE261	207
NHE262	229
NHE263	224
NHE265	231
NHE266	182
NHE267	235
NHE268	205
NHE269	249
NHE270	171
NHE272	220
NHE274	210
NHE275	226
NHE276	200
NHE277	213
NHE279	194
NHE280	217
NHE282	207
NHE283	193
NHE284	236
NHE285	264
NHE286	249
NHE289	305
NHE291	203
NHE296	277
NHE297	260
NHE299	317
NHE300	281
NHE303	218
NHE307	284
NHE309	268
NHE312	241
NHE315	246
NHE318	306
NHE319	300
NHE320	281
NHE321	283
NHE322	254
NHE326	279
NHE327	279
NHE330	272
NHE331	220
NHE332	238
NHE333	240
NHE334	220
NHE337	228
NHE338	189
NHE339	207
NHE341	218
NHE343	199
NHE344	215
NHE345	217
NHE348	192
NHE349	212
NHE350	218
NHE351	231
NHE354	210
NHE359	228
NHE363	222
NHE364	222
NHE365	211
NHE366	205
NHE367	209
NHE368	187
NHE369	217
NHE370	212
NHE373	212
